,Nikkiso,Osram 4.7 mW,Osram 42 mW,CIS,Stanely
Wavelength(nm),Intensity,Intensity,Intensity,Intensity,Intensity
,,,,,
294.99,2.7523E-08,4.44009E-08,5.38004E-07,1.79739E-08,4.03776E-09
295.57,2.61102E-08,3.98355E-08,4.80181E-07,1.66522E-08,4.3685E-09
296.14,2.48205E-08,3.58548E-08,4.38224E-07,1.48231E-08,4.18198E-09
296.71,2.37887E-08,3.17783E-08,4.03671E-07,1.35005E-08,4.47883E-09
297.28,2.3477E-08,2.8472E-08,3.71044E-07,1.19146E-08,3.99979E-09
297.85,2.07266E-08,2.61753E-08,3.3573E-07,1.11488E-08,3.90593E-09
298.42,2.14523E-08,2.33087E-08,3.10042E-07,9.93553E-09,3.74504E-09
299.00,1.73373E-08,2.11623E-08,2.87009E-07,9.63249E-09,3.57222E-09
299.57,1.80044E-08,1.9218E-08,2.59845E-07,8.42604E-09,3.52815E-09
300.14,1.7008E-08,1.69554E-08,2.45644E-07,8.38477E-09,2.64348E-09
300.71,1.6355E-08,1.53361E-08,2.26449E-07,7.1541E-09,3.41259E-09
301.28,1.61886E-08,1.43773E-08,2.13972E-07,7.15798E-09,3.84486E-09
301.86,1.47273E-08,1.34328E-08,2.00606E-07,6.12618E-09,3.33785E-09
302.43,1.11841E-08,1.20619E-08,1.84961E-07,5.71675E-09,3.1084E-09
303.00,1.50065E-08,1.10391E-08,1.73378E-07,5.44891E-09,3.17517E-09
303.57,1.31831E-08,9.81233E-09,1.627E-07,4.90616E-09,3.16354E-09
304.14,1.2898E-08,9.55857E-09,1.56142E-07,4.50876E-09,3.13943E-09
304.72,1.11061E-08,8.69389E-09,1.4375E-07,4.29698E-09,2.82468E-09
305.29,1.12253E-08,8.24438E-09,1.38723E-07,3.96288E-09,3.02692E-09
305.86,5.63447E-09,6.84844E-09,1.31275E-07,4.60533E-09,3.00405E-09
306.43,9.98397E-09,7.0164E-09,1.23287E-07,3.25054E-09,3.03912E-09
307.00,1.02867E-08,6.39312E-09,1.17185E-07,3.28563E-09,2.91616E-09
307.58,1.00435E-08,6.23116E-09,1.07895E-07,2.82875E-09,2.94085E-09
308.15,1.09095E-08,5.81369E-09,1.0496E-07,2.82775E-09,2.72888E-09
308.72,9.48162E-09,5.57351E-09,1.02273E-07,2.33218E-09,2.52982E-09
309.29,9.47495E-09,5.21408E-09,9.49663E-08,2.60704E-09,2.72554E-09
309.86,9.15168E-09,4.2626E-09,9.4495E-08,2.28918E-09,2.48652E-09
310.44,8.60486E-09,4.64049E-09,8.54806E-08,2.19189E-09,1.98784E-09
311.01,9.71692E-09,4.66352E-09,8.40933E-08,2.37128E-09,2.50302E-09
311.58,9.39326E-09,3.83045E-09,8.15264E-08,1.83625E-09,2.43516E-09
312.15,9.40926E-09,4.45009E-09,7.87674E-08,2.01738E-09,1.76685E-09
312.73,9.25184E-09,3.91639E-09,7.87736E-08,1.97797E-09,2.2417E-09
